course_code,course_title,description,credits,prerequisites,source_url,Required Courses for MSIST,Required Courses for MSCS
COMPSCI 537,Introduction to Operating Systems,"Process management including process creation, switching, multithreading, scheduling, communication and concurrency control; memory management including paging, segmentation and virtual memory; systems programming.",3,junior standing; COMPSCI 337(P); and COMPSCI 458(C) or ELECENG 458(C).,https://catalog.uwm.edu/courses/compsci/,NO,YES
COMPSCI 547,User-Centered Interaction Design,Introduction of human-computer interaction theories and design processes. Emphasis is on applied user experience (UX) design.,3, COMPSCI 547 and INFOST 547 are jointly offered and count as repeats of one another.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 552,Advanced Object-Oriented Programming,An advanced course in object-oriented programming. Abstraction; single and multiple inheritance; dynamic binding of functions; polymorphic types and operators; survey of object-oriented techniques.,3,junior standing and a grade of C or better in both COMPSCI 351(P) and COMPSCI 361(P).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 557,Introduction to Database Systems,General database system concepts. Physical data organization. Data models and database systems. Database design theory. Query optimization. Transaction management. Logic and database.,3,junior standing and COMPSCI 251(P) or equivalent.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 581,Web Languages and Standards,"Introduction to languages and standards for Web applications, including markup, schema, style, transformation, and metadata languages. Document programming interfaces. Emphasis on programming language principles.",3,junior standing; COMPSCI 431(P); COMPSCI 417(R).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 594,Capstone Project Preparation,Student teams will develop requirements and functionality specifications for their capstone projects and conduct the necessary research on the prior art and technologies to be used.,1,junior standing; COMPSCI 431(P); COMPSCI 417(R).,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 595,Capstone Project,Students will integrate their knowledge of the undergraduate computer science curriculum by implementing a significant computer science team project.,3,"senior standing, COMPSCI 351(P), COMPSCI 361(P), COMPSCI 594(P) and credit in at least 6 credits of 400 or higher COMPSCI or ELECENG courses.",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 599 ,Senior Thesis,Independent scholarly research in Computer Science supervised by a faculty member.,3,senior standing and consent of instructor.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 620,Undergraduate Seminar in AlgorithmsVariable topics seminar in algorithms,none,1, COMPSCI 535(P),https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 654,Introduction to Compilers,"Fundamentals of compiler construction for modern programming languages. Syntax analysis, table organization, storage administration, semantic routines and code generation",3," junior standing, COMPSCI 431(P), and COMPSCI 655(C)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 655,Compiler Implementation Laboratory,"Implementation of compiler phases: scanner, parser, semantic analysis; code generation and optimization.",3,"Prereq. junior standing, COMPSCI 431(P); COMPSCI 654(C) or COMPSCI 754(C).",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 657,Topics in Computer Science,Lectures on recent advances in computer science. Specific credits and any additional prerequisites will be announced in Schedule of Classes whenever course is offered.,3,junior standing.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 658 ,Topics in Applied Computing,Lectures on recent advances in applied computing. Specific credits and any additional prerequisites will be announced in Schedule of Classes whenever course is offered.,3,junior standing.,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 699 ,Independent Study,none,3,junior standing and consent of instructor,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 700 ,CEAS Graduate Seminar,"Seminar in professional ethics, oral and written communication, contemporary social issues, career development, time management, and laboratory safety.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 704 ,Analysis of Algorithms,"Introduction to concrete complexity theory and efficient algorithms. Fast data structure and graph algorithms, matrix multiplication, algebraic and numeric algorithms, reducibilities and np-completeness. Exponential and non-elementary lower bounds.",3,"graduate standing, COMPSCI 217(P) and COMPSCI 535(P)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 708 ,Scientific Computing,"Fundamental algorithms and practical issues of scientific computing, including Monte Carlo simulations, data fitting, fast Fourier transform, optimization, numerical integration & differentiation, parallel computing, selected biomedical applications.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 710 ,Artificial Intelligence,"AI programming, search techniques game playing, knowledge representation, knowledge acquisition, expert systems, selected topics from learning. Natural language understanding, vision and robotics.",3,"graduate standing, COMPSCI 351 or COMPST 751, and COMPSCI 535(P)",https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 711 ,Introduction to Machine Learning,"Introduction to machine learning techniques and applications, including optimal classification, regression, support vector machines, boosting, deep learning, and clustering.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 712,Image Processing,"This course covers the materials required to process and enhance photographic images, remote sensor multispacial scanner data and others. Topics include transform techniques, recorders, discriminate function, and associated hardware.",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
COMPSCI 714,Computational Geometry,"Special data structures and algorithmic techniques for representing and minipulating geometric objects, such as points, lines and polygons. Applications to vlsi design and robotics",3,graduate standing,https://catalog.uwm.edu/courses/compsci/,NO,NO
